query,sku,clicks,rank,num_impressions,doc_id,product_name,query_id
90210,1148979,15,2.0,68,1148979,fake,74
90210,2969653,31,1.0,68,2969653,fake,74
9th wonder,3294889,28,1.0,36,3294889,fake,75
ASIs,2906406,15,1.0,81,2906406,fake,76
ASus transformer,2475916,11,1.0,22,2475916,fake,77
Ac adapter,9420361,10,1.0,43,9420361,fake,78
Ace combat,2755121,11,1.0,23,2755121,fake,79
Ace hood,3081083,18,1.0,28,3081083,fake,80
Acer,2512059,36,2.0,307,2512059,fake,81
Acer,2842569,21,3.0,307,2842569,fake,81
Acer,2845071,61,1.0,307,2845071,fake,81
Acer,2882402,10,5.0,307,2882402,fake,81
Acer,3011201,13,4.0,307,3011201,fake,81
Acer aspire,2845071,12,1.0,37,2845071,fake,82
Acer iconia,2512059,53,1.0,126,2512059,fake,83
Acer iconia,2971069,17,2.0,126,2971069,fake,83
Acer iconia,3019221,10,4.0,126,3019221,fake,83
Acer iconia,3245029,11,3.0,126,3245029,fake,83
Acer laptop,2842569,16,2.0,134,2842569,fake,84
Acer laptop,2845071,47,1.0,134,2845071,fake,84
Acer laptops,2845071,11,1.0,32,2845071,fake,85
Acer tablet,2512059,47,1.0,103,2512059,fake,86
Acer tablet,2971069,11,2.0,103,2971069,fake,86
Acoustic guitar,7934658,13,1.0,42,7934658,fake,87
Adele,1972308,96,1.0,174,1972308,fake,88
Adele,1972635,11,3.0,174,1972635,fake,88
Adele,8845896,32,2.0,174,8845896,fake,88
Adobe,1323148,12,1.0,54,1323148,fake,89
Adventure time,3235157,18,1.0,23,3235157,fake,90
Age of empires,9544068,28,1.0,40,9544068,fake,91
Air conditioner,3104219,25,2.0,186,3104219,fake,92
Air conditioner,3130278,34,1.0,186,3130278,fake,92
Air conditioner,9734417,23,3.0,186,9734417,fake,92
Air conditioner,9747323,18,4.0,186,9747323,fake,92
Air conditioners,3104219,10,1.0,39,3104219,fake,93
Air purifier,7257005,23,1.0,65,7257005,fake,94
Air purifier,9217199,10,2.0,65,9217199,fake,94
Airplane,3215171,16,1.0,21,3215171,fake,95
Airport,1074605,15,4.0,106,1074605,fake,96
Airport,1074623,24,3.0,106,1074623,fake,96
Airport,2969404,26,2.0,106,2969404,fake,96
Airport,8791319,35,1.0,106,8791319,fake,96
Airport express,1074605,16,2.0,96,1074605,fake,97
Airport express,8791319,74,1.0,96,8791319,fake,97
Airport extreme,1074623,35,2.0,86,1074623,fake,98
Airport extreme,2969404,41,1.0,86,2969404,fake,98
Alarm clock,2681202,12,2.0,142,2681202,fake,99
Alarm clock,9446913,14,1.0,142,9446913,fake,99
Alice Cooper,3435437,15,1.0,20,3435437,fake,100
Alice cooper,3435437,19,1.0,28,3435437,fake,101
Alien ware,2817361,10,1.0,35,2817361,fake,102
Alienware,2817246,63,3.0,338,2817246,fake,103
Alienware,2817352,68,2.0,338,2817352,fake,103
Alienware,2817361,150,1.0,338,2817361,fake,103
Alpine,1807251,10,9.0,407,1807251,fake,104
Alpine,1918043,49,1.0,407,1918043,fake,104
Alpine,1918052,25,3.0,407,1918052,fake,104
Alpine,1934032,15,8.0,407,1934032,fake,104
Alpine,1934087,42,2.0,407,1934087,fake,104
Alpine,3048055,17,6.0,407,3048055,fake,104
Alpine,8699358,10,9.0,407,8699358,fake,104
Alpine,8699704,19,5.0,407,8699704,fake,104
Alpine,9321245,16,7.0,407,9321245,fake,104
Alpine,9438076,15,8.0,407,9438076,fake,104
Alpine,9775134,23,4.0,407,9775134,fake,104
Alpine,9897477,16,7.0,407,9897477,fake,104
Alpine amp,8699358,14,1.0,29,8699358,fake,105
Alpine type r,9775134,11,1.0,35,9775134,fake,106
Always sunny,1283768,10,2.0,40,1283768,fake,107
Always sunny,3209161,19,1.0,40,3209161,fake,107
Amazon kindle,1277791,14,3.0,100,1277791,fake,108
Amazon kindle,2506094,17,2.0,100,2506094,fake,108
Amazon kindle,2506119,24,1.0,100,2506119,fake,108
Amp,8699358,19,1.0,149,8699358,fake,109
Amp,9026993,19,1.0,149,9026993,fake,109
Amp kit,9855542,10,1.0,58,9855542,fake,110
Amp kit,9906282,10,1.0,58,9906282,fake,110
Amplifier,8699358,18,1.0,160,8699358,fake,111
Amplifier,9026993,14,2.0,160,9026993,fake,111
Amplifier,9760439,10,3.0,160,9760439,fake,111
Amy winehouse,8252856,10,1.0,29,8252856,fake,112
Anchorman,1149969,12,1.0,21,1149969,fake,113
Android,2678471,10,1.0,64,2678471,fake,114
Android tablet,2684193,21,2.0,134,2684193,fake,115
Android tablet,2809771,24,1.0,134,2809771,fake,115
Antenna,2630891,20,10.0,562,2630891,fake,116
Antenna,4780115,36,7.0,562,4780115,fake,116
Antenna,5230341,11,12.0,562,5230341,fake,116
Antenna,8280834,87,1.0,562,8280834,fake,116
Antenna,8280843,37,6.0,562,8280843,fake,116
Antenna,8408476,21,9.0,562,8408476,fake,116
Antenna,8850601,46,4.0,562,8850601,fake,116
Antenna,8939839,51,3.0,562,8939839,fake,116
Antenna,9119642,59,2.0,562,9119642,fake,116
Antenna,9151687,39,5.0,562,9151687,fake,116
Antenna,9152481,10,13.0,562,9152481,fake,116
Antenna,9358018,13,11.0,562,9358018,fake,116
Antenna,9415171,13,11.0,562,9415171,fake,116
Antenna,9747077,28,8.0,562,9747077,fake,116
Antenna,9999163500050001,13,11.0,562,9999163500050001,fake,116
Anthrax,3276438,42,1.0,64,3276438,fake,117
Antivirus,8856865,11,1.0,49,8856865,fake,118
Apc,9307788,12,1.0,51,9307788,fake,119
Apple,1331156,76,4.0,1467,1331156,fake,120
Apple,1535836,48,7.0,1467,1535836,fake,120
Apple,1535845,37,9.0,1467,1535845,fake,120
Apple,1535918,37,9.0,1467,1535918,fake,120
Apple,1945531,108,2.0,1467,1945531,fake,120
Apple,1945595,11,16.0,1467,1945595,fake,120
Apple,2339322,11,16.0,1467,2339322,fake,120
Apple,2658068,11,16.0,1467,2658068,fake,120
Apple,2658077,59,5.0,1467,2658077,fake,120
Apple,2658095,13,14.0,1467,2658095,fake,120
Apple,2658101,14,13.0,1467,2658101,fake,120
Apple,2842056,51,6.0,1467,2842056,fake,120
Apple,2884085,14,13.0,1467,2884085,fake,120
Apple,3108172,15,12.0,1467,3108172,fake,120
Apple,9119759,19,10.0,1467,9119759,fake,120
Apple,9225377,82,3.0,1467,9225377,fake,120
Apple,9689917,16,11.0,1467,9689917,fake,120
Apple,9755322,356,1.0,1467,9755322,fake,120
Apple,9755395,43,8.0,1467,9755395,fake,120
Apple,9944942,12,15.0,1467,9944942,fake,120
Apple Mac,2658077,15,2.0,88,2658077,fake,121
Apple Mac,9755322,28,1.0,88,9755322,fake,121
Apple Mac book,9755322,10,1.0,21,9755322,fake,122
Apple Mac book pro,9755322,13,1.0,33,9755322,fake,123
Apple MacBook,1535845,10,2.0,95,1535845,fake,124
Apple MacBook,9755322,32,1.0,95,9755322,fake,124
Apple MacBook,9755395,10,2.0,95,9755395,fake,124
Apple MacBook pro,9755322,27,1.0,70,9755322,fake,125
Apple MacBook pro,9755395,17,2.0,70,9755395,fake,125
Apple TV,1331156,26,1.0,29,1331156,fake,126
Apple airport,2969404,12,2.0,41,2969404,fake,127
Apple airport,8791319,28,1.0,41,8791319,fake,127
Apple computer,2658077,20,2.0,124,2658077,fake,128
Apple computer,2658095,12,3.0,124,2658095,fake,128
Apple computer,9755322,23,1.0,124,9755322,fake,128
Apple computers,1945531,15,3.0,119,1945531,fake,129
Apple computers,2658077,24,2.0,119,2658077,fake,129
Apple computers,9755322,26,1.0,119,9755322,fake,129
Apple desktop,2658077,22,1.0,48,2658077,fake,130
Apple earphones,9084206,15,1.0,26,9084206,fake,131
Apple headphone,9084206,13,1.0,22,9084206,fake,132
Apple headphones,9084206,57,1.0,73,9084206,fake,133
Apple iMac,2658077,21,1.0,59,2658077,fake,134
Apple iMac,2658095,16,2.0,59,2658095,fake,134
Apple iMac,2658101,11,3.0,59,2658101,fake,134
Apple iPad,1945531,69,1.0,130,1945531,fake,135
Apple ipad,1945531,47,1.0,82,1945531,fake,136
Apple ipad,1945595,11,2.0,82,1945595,fake,136
Apple keyboard,8510328,41,2.0,134,8510328,fake,137
Apple keyboard,9635348,54,1.0,134,9635348,fake,137
Apple laptop,1535836,44,2.0,393,1535836,fake,138
Apple laptop,1535845,22,5.0,393,1535845,fake,138
Apple laptop,1535918,28,4.0,393,1535918,fake,138
Apple laptop,3108172,18,6.0,393,3108172,fake,138
Apple laptop,3109047,14,7.0,393,3109047,fake,138
Apple laptop,9755322,166,1.0,393,9755322,fake,138
Apple laptop,9755395,43,3.0,393,9755395,fake,138
Apple laptop,9944942,10,8.0,393,9944942,fake,138
Apple laptops,1535836,16,3.0,203,1535836,fake,139
Apple laptops,1535918,12,4.0,203,1535918,fake,139
Apple laptops,3109047,11,5.0,203,3109047,fake,139
Apple laptops,9755322,89,1.0,203,9755322,fake,139
Apple laptops,9755395,21,2.0,203,9755395,fake,139
Apple mac,9755322,23,1.0,54,9755322,fake,140
Apple macbook,9755322,23,1.0,50,9755322,fake,141
Apple mouse,9634885,19,1.0,48,9634885,fake,142
Apple tv,1074778,61,2.0,1095,1074778,fake,143
Apple tv,1257136,38,3.0,1095,1257136,fake,143
Apple tv,1331156,913,1.0,1095,1331156,fake,143
Apple tv,2825041,28,4.0,1095,2825041,fake,143
Apple tv,9225377,21,5.0,1095,9225377,fake,143
Apple wireless keyboard,9635348,22,1.0,30,9635348,fake,144
Appletv,1331156,39,1.0,44,1331156,fake,145
Appradio,2781122,28,1.0,37,2781122,fake,146
Archer,1594142,31,1.0,49,1594142,fake,147
Archer,3251039,15,2.0,49,3251039,fake,147
Arkham city,2173056,52,1.0,96,2173056,fake,148
Arkham city,3046579,31,2.0,96,3046579,fake,148
Assassins creed,2613621,13,1.0,54,2613621,fake,149
Assassins creed,9331546,11,2.0,54,9331546,fake,149
Assassins creed,9984133,10,3.0,54,9984133,fake,149
Asus,1774899,15,13.0,1029,1774899,fake,150
Asus,2475112,27,10.0,1029,2475112,fake,150
Asus,2475916,59,5.0,1029,2475916,fake,150
Asus,2634096,30,9.0,1029,2634096,fake,150
Asus,2634102,20,11.0,1029,2634102,fake,150
Asus,2634111,13,14.0,1029,2634111,fake,150
Asus,2663006,16,12.0,1029,2663006,fake,150
Asus,2701449,11,15.0,1029,2701449,fake,150
Asus,2712297,40,7.0,1029,2712297,fake,150
Asus,2712418,53,6.0,1029,2712418,fake,150
Asus,2712515,74,4.0,1029,2712515,fake,150
Asus,2712579,122,2.0,1029,2712579,fake,150
Asus,2842766,37,8.0,1029,2842766,fake,150
Asus,2881042,84,3.0,1029,2881042,fake,150
Asus,2906406,154,1.0,1029,2906406,fake,150
Asus,3071514,16,12.0,1029,3071514,fake,150
Asus,3184362,13,14.0,1029,3184362,fake,150
Asus,3411128,20,11.0,1029,3411128,fake,150
Asus desktop,2634096,16,1.0,31,2634096,fake,151
Asus eee pad,2475916,15,1.0,33,2475916,fake,152
Asus g74,2712579,37,1.0,55,2712579,fake,153
Asus i5,2906406,13,1.0,24,2906406,fake,154
Asus laptop,2712418,10,6.0,191,2712418,fake,155
Asus laptop,2712515,15,5.0,191,2712515,fake,155
Asus laptop,2712579,26,1.0,191,2712579,fake,155
Asus laptop,2842766,20,3.0,191,2842766,fake,155
Asus laptop,2881042,25,2.0,191,2881042,fake,155
Asus laptop,2906406,18,4.0,191,2906406,fake,155
Asus netbook,1647223,11,1.0,21,1647223,fake,156
Asus tablet,2475112,24,2.0,101,2475112,fake,157
Asus tablet,2475916,34,1.0,101,2475916,fake,157
Asus transformer,2475112,58,2.0,233,2475112,fake,158
Asus transformer,2475916,98,1.0,233,2475916,fake,158
Asus transformer,2663006,32,3.0,233,2663006,fake,158
Asus transformer,2842056,13,4.0,233,2842056,fake,158
Atrix,1800355,54,1.0,99,1800355,fake,159
Atrix,2181216,15,2.0,99,2181216,fake,159
Aux,8959834,17,1.0,37,8959834,fake,160
Aux cable,8723553,11,2.0,62,8723553,fake,161
Aux cable,8959834,39,1.0,62,8959834,fake,161
Aux cord,8959834,17,1.0,24,8959834,fake,162
Auxiliary cable,8959834,18,1.0,29,8959834,fake,163
Auxiliary cord,8959834,14,1.0,27,8959834,fake,164
Avatar,1283795,31,1.0,64,1283795,fake,165
Avatar,9862358,12,2.0,64,9862358,fake,165
Avatar 3d,1283795,11,1.0,27,1283795,fake,166
Avatar 3d,1534391,10,2.0,27,1534391,fake,166
Baby monitor,1403107,15,1.0,42,1403107,fake,167
Baby monitor,3035113,12,2.0,42,3035113,fake,167
Back to the future,1330888,25,1.0,53,1330888,fake,168
Back up camera,8840953,20,1.0,61,8840953,fake,169
Back up camera,9044875,18,2.0,61,9044875,fake,169
Backpack,2808441,10,1.0,65,2808441,fake,170
Backup camera,9027233,14,1.0,35,9027233,fake,171
Bad meets evil,2759551,30,1.0,42,2759551,fake,172
Bamboo,3016039,20,2.0,91,3016039,fake,173
Bamboo,9468961,26,1.0,91,9468961,fake,173
Bamboo,9469014,19,3.0,91,9469014,fake,173
Bamboo,9487833,13,4.0,91,9487833,fake,173
Bamboo stylus,3016039,30,1.0,30,3016039,fake,174
Batman,2173056,90,1.0,228,2173056,fake,175
Batman,3046579,30,2.0,228,3046579,fake,175
Batman,9927337,26,3.0,228,9927337,fake,175
Batman arkham asylum,9927337,14,1.0,21,9927337,fake,176
Batman arkham city,2173056,77,1.0,140,2173056,fake,177
Batman arkham city,3046579,40,2.0,140,3046579,fake,177
Battery backup,9307788,23,1.0,91,9307788,fake,178
Battery backup,9926091,14,2.0,91,9926091,fake,178
Battery backup,9952013,10,3.0,91,9952013,fake,178
Battlefield,2107449,28,1.0,69,2107449,fake,179
Battlefield 3,2107449,101,1.0,164,2107449,fake,180
Battlefield 3,2108032,41,2.0,164,2108032,fake,180
Bazooka,9036722,10,1.0,38,9036722,fake,181
Beat thang,2634333,17,1.0,20,2634333,fake,182
Beatbox,9836627,38,1.0,44,9836627,fake,183
Beats,1232447,90,11.0,2769,1232447,fake,184
Beats,1232474,199,3.0,2769,1232474,fake,184
Beats,1232483,65,13.0,2769,1232483,fake,184
Beats,1535293,13,22.0,2769,1535293,fake,184
Beats,2074648,154,6.0,2769,2074648,fake,184
Beats,2390703,103,10.0,2769,2390703,fake,184
Beats,2634333,11,24.0,2769,2634333,fake,184
Beats,2799036,49,16.0,2769,2799036,fake,184
Beats,2800033,30,19.0,2769,2800033,fake,184
Beats,7969905,12,23.0,2769,7969905,fake,184
Beats,8913606,164,4.0,2769,8913606,fake,184
Beats,9492408,156,5.0,2769,9492408,fake,184
Beats,9492426,414,2.0,2769,9492426,fake,184
Beats,9632217,122,8.0,2769,9632217,fake,184
Beats,9710711,81,12.0,2769,9710711,fake,184
Beats,9740775,21,20.0,2769,9740775,fake,184
Beats,9740784,53,15.0,2769,9740784,fake,184
Beats,9819884,64,14.0,2769,9819884,fake,184
Beats,9836432,150,7.0,2769,9836432,fake,184
Beats,9836627,47,17.0,2769,9836627,fake,184
Beats,9836718,455,1.0,2769,9836718,fake,184
Beats,9845581,112,9.0,2769,9845581,fake,184
Beats,9999159900050003,14,21.0,2769,9999159900050003,fake,184
Beats,9999159900050004,46,18.0,2769,9999159900050004,fake,184
Beats audio,9492426,18,1.0,105,9492426,fake,185
Beats audio,9836718,15,2.0,105,9836718,fake,185
Beats by Dre,2074648,11,4.0,135,2074648,fake,186
Beats by Dre,2390703,12,3.0,135,2390703,fake,186
Beats by Dre,9492426,17,2.0,135,9492426,fake,186
Beats by Dre,9836718,20,1.0,135,9836718,fake,186
Beats by dr dre,1232474,30,5.0,535,1232474,fake,187
Beats by dr dre,2074648,16,9.0,535,2074648,fake,187
Beats by dr dre,2390703,30,5.0,535,2390703,fake,187
Beats by dr dre,8913606,33,4.0,535,8913606,fake,187
Beats by dr dre,9492408,38,3.0,535,9492408,fake,187
Beats by dr dre,9492426,74,2.0,535,9492426,fake,187
Beats by dr dre,9632217,28,6.0,535,9632217,fake,187
Beats by dr dre,9710711,23,8.0,535,9710711,fake,187
Beats by dr dre,9819884,10,11.0,535,9819884,fake,187
Beats by dr dre,9836432,38,3.0,535,9836432,fake,187
Beats by dr dre,9836718,103,1.0,535,9836718,fake,187
Beats by dr dre,9845581,26,7.0,535,9845581,fake,187
Beats by dr dre,9999159900050004,15,10.0,535,9999159900050004,fake,187
Beats by dr. Dre,1232474,10,3.0,108,1232474,fake,188
Beats by dr. Dre,8913606,10,3.0,108,8913606,fake,188
Beats by dr. Dre,9492426,11,2.0,108,9492426,fake,188
Beats by dr. Dre,9632217,10,3.0,108,9632217,fake,188
Beats by dr. Dre,9836432,10,3.0,108,9836432,fake,188
Beats by dr. Dre,9836718,16,1.0,108,9836718,fake,188
Beats by dr.dre,9836718,19,1.0,77,9836718,fake,189
Beats by dre,1232474,108,4.0,1647,1232474,fake,190
Beats by dre,1232483,53,12.0,1647,1232483,fake,190
Beats by dre,1805687,14,18.0,1647,1805687,fake,190
Beats by dre,2074648,82,9.0,1647,2074648,fake,190
Beats by dre,2390703,89,6.0,1647,2390703,fake,190
Beats by dre,2799036,21,16.0,1647,2799036,fake,190
Beats by dre,2800033,11,20.0,1647,2800033,fake,190
Beats by dre,8913606,88,7.0,1647,8913606,fake,190
Beats by dre,9492408,87,8.0,1647,9492408,fake,190
Beats by dre,9492426,247,2.0,1647,9492426,fake,190
Beats by dre,9632217,99,5.0,1647,9632217,fake,190
Beats by dre,9710711,58,11.0,1647,9710711,fake,190
Beats by dre,9740775,12,19.0,1647,9740775,fake,190
Beats by dre,9740784,21,16.0,1647,9740784,fake,190
Beats by dre,9819884,50,13.0,1647,9819884,fake,190
Beats by dre,9836432,116,3.0,1647,9836432,fake,190
Beats by dre,9836627,37,14.0,1647,9836627,fake,190
Beats by dre,9836718,276,1.0,1647,9836718,fake,190
